"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2022_05_IND_DEN",0,1,0,"6",69,1,1,1,2,-3.5
"2022_06_JAX_IND",0,1,1,"5",62,0,1,1,2,1
"2022_08_WAS_IND",0,0,1,"3",58,0,0,1,2,3
"2022_10_IND_LV",0,1,0,"18",57,1,0,2,2,-4.5
"2023_03_IND_BAL",1,1,0,"3",68,1,1,1,1,-7.5
"2023_04_LA_IND",1,0,1,"2",80,0,1,2,1,-1
"2023_05_TEN_IND",1,1,1,"7",53,0,1,1,1,-2.5
"2023_06_IND_JAX",1,0,0,"10",68,1,1,1,1,-4
"2023_08_NO_IND",1,0,1,"4",51,0,0,1,1,-2
"2023_10_IND_NE",1,1,0,"1",47,1,1,1,1,1
"2023_12_TB_IND",1,1,1,"3",37,0,0,1,1,2.5
"2023_13_IND_TEN",1,1,0,"13",53,1,1,1,1,1.5
"2023_14_IND_CIN",1,0,0,"9",40,0,1,2,1,-3
"2023_15_PIT_IND",1,1,1,"4",53,0,0,1,1,1.5
"2023_16_IND_ATL",1,0,0,"0",68,0,0,2,1,-3
"2023_17_LV_IND",1,1,1,"5",33,0,0,1,1,3.5
"2023_18_HOU_IND",1,0,1,"1",36,0,0,1,1,-1.5
"2023_07_CLE_IND",0,0,1,"6",53,0,1,2,1,-3.5
"2023_09_IND_CAR",0,1,0,"2",75,1,1,2,1,1.5
"2024_01_HOU_IND",1,0,1,"3",63,0,0,1,1,-3
"2024_02_IND_GB",1,0,0,"7",85,1,1,1,1,3
"2024_03_CHI_IND",1,1,1,"4",76,0,0,1,1,1.5
"2024_05_IND_JAX",1,0,0,"4",74,1,1,2,1,-3.5
"2024_06_IND_TEN",1,1,0,"12",76,1,1,2,1,-2.5
"2024_08_IND_HOU",1,0,0,"4",82,0,0,1,1,-5
"2024_09_IND_MIN",1,0,0,"7",47,0,0,1,1,-6.5
"2024_10_BUF_IND",1,0,1,"5",63,0,0,1,1,-4.5
"2024_11_IND_NYJ",1,1,0,"4",62,0,1,2,1,-4
"2024_12_DET_IND",1,0,1,"9",50,0,0,1,1,-7
"2024_13_IND_NE",1,1,0,"9",36,0,1,2,1,2.5
"2024_15_IND_DEN",1,0,0,"15",55,1,1,1,1,-4.5
"2024_16_TEN_IND",1,1,1,"5",32,0,0,2,1,4
"2024_17_IND_NYG",1,0,0,"0",54,0,1,2,1,7.5
"2024_18_JAX_IND",1,1,1,"2",21,0,0,2,1,3.5
"2024_04_PIT_IND",0,1,1,"8",70,0,0,1,1,-2.5
"2024_07_MIA_IND",0,1,1,"2",65,0,0,1,1,3
